System;Site;Replication-task;ARN
maximo;global;edb-mq-dia-repl-task-maximo-a1;arn:aws:dms:us-east-2:846946056819:task:P22GT23T4FMTOEETQVGZNXUPK4JEHFINXVPKLLA
maximo;global;edb-mq-dia-repl-task-maximo-a2;arn:aws:dms:us-east-2:846946056819:task:KZRDAHDRD674BSMMXSZAPTZUMM3YUSNKWQX4ZAY
maximo;global;edb-mq-dia-repl-task-maximo-a3;arn:aws:dms:us-east-2:846946056819:task:TFDGBNYCO6WZ3KFG6BEZIDDCTJ6TGICGFCSMFRI
maximo;global;edb-mq-dia-repl-task-maximo-a4;arn:aws:dms:us-east-2:846946056819:task:D7UMBMWJ7ITHRFZ3MF4XCM4DEGDZRZKV2GHEY4A
maximo;global;edb-mq-dia-repl-task-maximo-a5;arn:aws:dms:us-east-2:846946056819:task:6XT46WM7MRBKBD635273AVJRL6CIPSAFLYSIZHI
maximo;global;edb-mq-dia-repl-task-maximo-a6;arn:aws:dms:us-east-2:846946056819:task:3SLM2PLC2ARGBHDJ2UD5SOZ4UWFFW42F6DPY4FI
maximo;global;edb-mq-dia-repl-task-maximo-a7;arn:aws:dms:us-east-2:846946056819:task:GNUXHCSFFIITEBPKAUSB5B3MNPVYISSHD2AO2AA
maximo;global;edb-mq-dia-repl-task-maximo-a8;arn:aws:dms:us-east-2:846946056819:task:TSJ7OC3WJIIGFYAZ62IVPH4UMKPLOXSP6G4OGQI
maximo;global;edb-mq-dia-repl-task-maximo-a9;arn:aws:dms:us-east-2:846946056819:task:VZENMX5MPRMAGIZ477TXWCBE533RWMMM3HPA65I
maximo;global;edb-mq-dia-repl-task-maximo-a10;arn:aws:dms:us-east-2:846946056819:task:MKTMWNUJOR4VZIZE5N3VJN7LUTITIUI2OUBCKWA
maximo;global;edb-mq-dia-repl-task-maximo-a11;arn:aws:dms:us-east-2:846946056819:task:3VWZGAU734XKT4ODF4STGPQK7NYIHQ3QCVMG6UI
maximo;global;edb-mq-dia-repl-task-maximo-a12;arn:aws:dms:us-east-2:846946056819:task:JN2GVEABRHDSMUNRCEJ23IEXZ7Y7FXMD3BXEN5Y
maximo;global;edb-mq-dia-repl-task-maximo-a13;arn:aws:dms:us-east-2:846946056819:task:2Z3OOB6IQKCW2GHQOFFO2RXMCTQZWWE7PJEY5GI
maximo;global;edb-mq-dia-repl-task-maximo-a14;arn:aws:dms:us-east-2:846946056819:task:BEO3JQP6T6K3EUGWT6AHC6GE2UEZZCTTIAW3Q3Q
maximo;global;edb-mq-dia-repl-task-maximo-a15;arn:aws:dms:us-east-2:846946056819:task:R46IT4RYIP6VZITDJDM4B6TOGYAAG3QM6JHCRHA
maximo;global;edb-mq-dia-repl-task-maximo-a16;arn:aws:dms:us-east-2:846946056819:task:EN5L6Z6W7A4WSEKRCZUXSR34TW37LR77OG6C6VY
maximo;global;edb-mq-dia-repl-task-maximo-a17;arn:aws:dms:us-east-2:846946056819:task:HESPPGLORMDQ6NASCGZ2Y373DN36UCWIXES6J6Q
maximo;global;edb-mq-dia-repl-task-maximo-a18;arn:aws:dms:us-east-2:846946056819:task:5ZSVCOASCAMJ3V62PCF4XK4LTQQPGZY5KVQTKIQ
maximo;global;edb-mq-dia-repl-task-maximo-a19;arn:aws:dms:us-east-2:846946056819:task:NYH5YM3CIBGQMART26TDQC3F6VR2QN7Z6M2EH7Q
maximo;global;edb-mq-dia-repl-task-maximo-a20;arn:aws:dms:us-east-2:846946056819:task:DIODVPNVBZMTSXUQKKIE7XOOMF2PVBMGWMHKLIY
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a1;arn:aws:dms:us-east-2:846946056819:task:GQH6XQEJGCIGANOCX4AXDHZYSROIOBPELM2O3II
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a1;arn:aws:dms:us-east-2:846946056819:task:4AEP4RQGKZHOBX4OTZJKQUPT33X4AXJG6FWVMOY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a1;arn:aws:dms:us-east-2:846946056819:task:XWDPJOZYOHKUSFU7TDN2XHUGDD6OEO734F5PUDY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a1;arn:aws:dms:us-east-2:846946056819:task:D675VBOHJI5UJXSHN46JQJPFHUU5VSJNFFUEIRY
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a1;arn:aws:dms:us-east-2:846946056819:task:GANIDNB2Q3T3LXPMYEXSFIHBWZWIZHOFUWQJW3Q
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a1;arn:aws:dms:us-east-2:846946056819:task:MSZZC2V24O4UYAY622I7PGXDE55PSKAOHJXUJJQ
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a2;arn:aws:dms:us-east-2:846946056819:task:F3275FCXSLWFQOV6G34LQEUIRDF5DBSKOU3KCCI
pmx;indy;edb-mq-dia-repl-task-pmx-indy-dry-a2;arn:aws:dms:us-east-2:846946056819:task:BEM2XNHUBAWXHIH3OPRKC2WZFGPG5S5X7U5EYMY
pmx;indy;edb-mq-dia-repl-task-pmx-indy-idap-a2;arn:aws:dms:us-east-2:846946056819:task:44MFUCJDOBZ6IZKCP5SSKJODQZ3FJUGMEORS23Y
pmx;indy;edb-mq-dia-repl-task-pmx-indy-par-a2;arn:aws:dms:us-east-2:846946056819:task:HFU6PRENBIK7AYH3FMZETIFYH6WQ2ISIVPFDUHQ
pmx;sesto;edb-mq-dia-repl-task-pmx-sesto-a2;arn:aws:dms:us-east-2:846946056819:task:XLMVLM66VARANTHOIMUX7MARRVQXQDIH7AN2U7I
pmx;suzhou;edb-mq-dia-repl-task-pmx-suzhou-a2;arn:aws:dms:us-east-2:846946056819:task:C3E64EAJZDIDKX6GMGYMUWLA6EVP3QRHNMWVB4Y
pmx;fegersheim;edb-mq-dia-repl-task-pmx-fegersheim-a3;arn:aws:dms:us-east-2:846946056819:task:7BWAD3UJJ6VWL5HK6KORETWGSSF25CE35B4SU2Y
