TABLE_NAME;COUNT_FEG;COUNT_IPM;COUNT_SES;COUNT_SUZ;OWNER
IPC_BATCH;378;466;1532;203;IPC_OWNER
IPC_DIMCARP_CALIBRATIONS;0;22;29;0;IPC_OWNER
IPC_DIMCARP_LIMITS;348;435;1480;174;IPC_OWNER
IPC_DIMCARP_SAMPLES;126720;60;528532;120720;IPC_OWNER
IPC_DIMCARP_SAMPLINGS;4224;297;17625;4024;IPC_OWNER
IPC_DIMCARP_STATS;13452;12;57117;12531;IPC_OWNER
IPC_DIMCARP_TLU_CALIBRATIONS;16;0;15456;220;IPC_OWNER
IPC_ESIGNS;2491;2945;5676;1056;IPC_OWNER
IPC_EVENTS;171945;84718;644827;418819;IPC_OWNER
IPC_STATS_VIEW;102637;35662;442332;90376;IPC_OWNER
IPC_UPG_CALIBRATIONS;627;1954;2584;833;IPC_OWNER
IPC_UPG_LIMITS;370;443;1481;184;IPC_OWNER
IPC_UPG_SAMPLES;4659;4231;6208;5843;IPC_OWNER
IPC_UPG_SAMPLINGS;316;414;536;1318;IPC_OWNER
IPC_UPG_STATS;498;1116;1686;658;IPC_OWNER
IPC_ZWICK_FTL_LIMITS;370;438;1487;182;IPC_OWNER
IPC_ZWICK_FTL_SAMPLES;35206;57665;172342;22935;IPC_OWNER
IPC_ZWICK_FTL_SAMPLINGS;1028;1851;4927;1212;IPC_OWNER
IPC_ZWICK_FTL_STATS;1251;1944;6224;794;IPC_OWNER
IPC_ZWICK_PGF_LIMITS;370;442;1489;184;IPC_OWNER
IPC_ZWICK_PGF_SAMPLES;59848;98783;272790;38119;IPC_OWNER
IPC_ZWICK_PGF_SAMPLINGS;1059;1923;4695;1218;IPC_OWNER
IPC_ZWICK_PGF_STATS;2636;4058;12016;1586;IPC_OWNER
