TABLE_NAME;COUNT;OWNER
RECIPE_AUTOCLAVES;489;XFHISTORIAN
REPORTSTUFA;1083;XFHISTORIAN
REPORT_HEADER_SKAN;2198;XFHISTORIAN
PRODUCT_FORMAT;3854;XFHISTORIAN
RECIPE_HDR;4364;XFHISTORIAN
ALARMS_AUTOCLAVES;18326;XFHISTORIAN
AEM_REPORT_USERS;22477;XFHISTORIAN
WASHER_REPORT_FINAL_RINSE;36166;XFHISTORIAN
WASHER_REPORT_HEADER;38654;XFHISTORIAN
UHLMANNAUDITTRAIL;47544;XFHISTORIAN
WASHER_REPORT_DRYING;50201;XFHISTORIAN
REPORT_AUTOCLAVES;53425;XFHISTORIAN
WASHER_REPORT_WASH;68611;XFHISTORIAN
ALARMSPROCESS_BATCH;117131;XFHISTORIAN
WASHER_REPORT_PRE_WASH;119096;XFHISTORIAN
WASHER_REPORT_RINSE;130166;XFHISTORIAN
AEM_REPORT_ROOMVISITED;161745;XFHISTORIAN
CYCLEREPORT_HEADER;205703;XFHISTORIAN
FORM_REPORT_HEADER;302454;XFHISTORIAN
DOWNLOADED_RECIPE;335559;XFHISTORIAN
ALARMS_ESIGN;407043;XFHISTORIAN
RECIPE_DTL;738494;XFHISTORIAN
FORM_REPORT_CONTENT;1110365;XFHISTORIAN
CRITICAL_CHANGES;1165387;XFHISTORIAN
CRITICAL_ALARMS;1812111;XFHISTORIAN
CYCLEREPORT_DETAILS;3600977;XFHISTORIAN
ALARMS_WITHOUT_ESIGNATURE;127087852;XFHISTORIAN
