"FQ","FCLTY","OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,TIPO_OPERAZIONE,VARCHAR2,"40",,,N,"6"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,SNODENAME,VARCHAR2,"20",,,N,"2"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,MODALITA,VARCHAR2,"40",,,N,"7"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,FULLNAME,VARCHAR2,"30",,,N,"4"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,USERNAME,VARCHAR2,"30",,,N,"3"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,TIMESTAMP,DATE,"7",,,N,"1"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,ABILITA_TASTIERA,NOTA,VARCHAR2,"1024",,,N,"5"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,BEGALARM,DATE,"7",,,N,"4"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,ALARM,VARCHAR2,"80",,,N,"3"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,AIMS,NUMBER,"22",,,N,"1"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,FULLNAME,VARCHAR2,"50",,,N,"7"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,SIGN,VARCHAR2,"20",,,N,"6"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,NOTES,VARCHAR2,"2000",,,N,"9"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,ENDALARM,DATE,"7",,,N,"5"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,CYCLENAME,VARCHAR2,"50",,,N,"2"
ora_prd448_XF_INFORMATICA,"0071",XFHISTORIAN,AC_ALM_0096,CHKDATE,DATE,"7",,,N,"8"
