TABLE_NAME;COUNT;OWNER
CPM_CPMItems;20;DMI_CPM.dbo
CPM_Classes;1;DMI_CPM.dbo
CPM_Entities;376;DMI_CPM.dbo
EBR_ActiveStepChangeRecords;20;DMI_EBR.dbo
EBR_AlgorithmConnections;81185;DMI_EBR.dbo
EBR_AlgorithmParameterInstances;133813;DMI_EBR.dbo
EBR_AlgorithmParameters;509268;DMI_EBR.dbo
EBR_AlgorithmSteps;35088;DMI_EBR.dbo
EBR_AlgorithmTransitions;42388;DMI_EBR.dbo
EBR_Behaviors;22730;DMI_EBR.dbo
EBR_CommentTypes;8;DMI_EBR.dbo
EBR_ConnectionLines;115207;DMI_EBR.dbo
EBR_ConvergingPathInstances;9400118;DMI_EBR.dbo
EBR_EnumEntries;13198;DMI_EBR.dbo
EBR_EnumSets;3636;DMI_EBR.dbo
EBR_InstructionParameters;74176;DMI_EBR.dbo
EBR_ItemInstanceComments;53;DMI_EBR.dbo
EBR_ItemInstanceParameterIterations;2404475;DMI_EBR.dbo
EBR_ItemInstanceParameterMessages;1470;DMI_EBR.dbo
EBR_ItemInstanceParameters;2362277;DMI_EBR.dbo
EBR_ItemInstanceSignatureGroups;106923;DMI_EBR.dbo
EBR_ItemInstanceSignatures;108237;DMI_EBR.dbo
EBR_ItemInstanceSnapShot;108198;DMI_EBR.dbo
EBR_ItemInstances;148162;DMI_EBR.dbo
EBR_OrderMaterials;517;DMI_EBR.dbo
EBR_OrderParameterInstances;1467;DMI_EBR.dbo
EBR_OrderParameters;2445;DMI_EBR.dbo
EBR_OrderTransactions;574;DMI_EBR.dbo
EBR_Orders;305;DMI_EBR.dbo
EBR_PlannedDeviationSignatureDefinitionItems;2;DMI_EBR.dbo
EBR_PlannedDeviationSignatureDefinitions;2;DMI_EBR.dbo
EBR_PredefinedComments;2;DMI_EBR.dbo
EBR_ProcessSegments;39;DMI_EBR.dbo
EBR_RecipeItems;3647;DMI_EBR.dbo
EBR_RecipeManifests;30;DMI_EBR.dbo
EBR_RecipeParameters;70787;DMI_EBR.dbo
EBR_RecipeRoot;58;DMI_EBR.dbo
EBR_ReferenceGroupInstances;14000;DMI_EBR.dbo
EBR_ReferenceGroupPointers;942;DMI_EBR.dbo
EBR_SegmentMaterials;75;DMI_EBR.dbo
EBR_Sessions;74;DMI_EBR.dbo
EBR_Signatures;2754;DMI_EBR.dbo
EBR_TransitionGroupInstances;184362;DMI_EBR.dbo
EBR_TransitionInstances;518616;DMI_EBR.dbo
EBR_TransitionPaths;17996;DMI_EBR.dbo
EBR_WorkInstructions;4749;DMI_EBR.dbo
EBR_ActiveStepChangeRecords;2284;DMI_EBR_ARCHIVE.dbo
EBR_AlgorithmConnections;510013;DMI_EBR_ARCHIVE.dbo
EBR_AlgorithmParameterInstances;805535;DMI_EBR_ARCHIVE.dbo
EBR_AlgorithmParameters;3224668;DMI_EBR_ARCHIVE.dbo
EBR_AlgorithmSteps;220816;DMI_EBR_ARCHIVE.dbo
EBR_AlgorithmTransitions;266218;DMI_EBR_ARCHIVE.dbo
EBR_Behaviors;134164;DMI_EBR_ARCHIVE.dbo
EBR_CommentTypes;8;DMI_EBR_ARCHIVE.dbo
EBR_ConnectionLines;719991;DMI_EBR_ARCHIVE.dbo
EBR_ConvergingPathInstances;9377601;DMI_EBR_ARCHIVE.dbo
EBR_EnumEntries;1170681;DMI_EBR_ARCHIVE.dbo
EBR_EnumSets;338661;DMI_EBR_ARCHIVE.dbo
EBR_InstructionParameters;434282;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceAttachments;2;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceComments;8401;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceParameterIterationVoids;1;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceParameterIterations;227003875;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceParameterMessages;563029;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceParameters;223495932;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstancePlannedDeviationAttachments;0;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceSignatureGroups;10307606;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceSignatures;10446128;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstanceSnapShot;10498435;DMI_EBR_ARCHIVE.dbo
EBR_ItemInstances;14173966;DMI_EBR_ARCHIVE.dbo
EBR_OrderMaterials;23265;DMI_EBR_ARCHIVE.dbo
EBR_OrderParameterInstances;908693;DMI_EBR_ARCHIVE.dbo
EBR_OrderParameters;915486;DMI_EBR_ARCHIVE.dbo
EBR_OrderTransactions;193828;DMI_EBR_ARCHIVE.dbo
EBR_Orders;48573;DMI_EBR_ARCHIVE.dbo
EBR_PlannedDeviationSkipStepItems;0;DMI_EBR_ARCHIVE.dbo
EBR_ProcessSegments;238;DMI_EBR_ARCHIVE.dbo
EBR_RecipeItems;22374;DMI_EBR_ARCHIVE.dbo
EBR_RecipeParameters;429363;DMI_EBR_ARCHIVE.dbo
EBR_RecipeRoot;301;DMI_EBR_ARCHIVE.dbo
EBR_ReferenceGroupInstances;365880;DMI_EBR_ARCHIVE.dbo
EBR_SegmentMaterials;471;DMI_EBR_ARCHIVE.dbo
EBR_Signatures;16019;DMI_EBR_ARCHIVE.dbo
EBR_TransitionGroupInstances;17600859;DMI_EBR_ARCHIVE.dbo
EBR_TransitionInstances;22587302;DMI_EBR_ARCHIVE.dbo
EBR_TransitionPaths;264641;DMI_EBR_ARCHIVE.dbo
EBR_WorkInstructions;27968;DMI_EBR_ARCHIVE.dbo
ET_AvailableScripts;6;DMI_ET.dbo
ET_CGMPStatuses;2;DMI_ET.dbo
ET_CalibrationGroups;4;DMI_ET.dbo
ET_CustomProperties;278;DMI_ET.dbo
ET_CustomPropertyListSelect;13;DMI_ET.dbo
ET_DownTimeClasses;4;DMI_ET.dbo
ET_Equipment;450;DMI_ET.dbo
ET_EquipmentClassRuleDependencies;2241;DMI_ET.dbo
ET_EquipmentClassRuleExpressions;1694;DMI_ET.dbo
ET_EquipmentClassRuleGroups;310;DMI_ET.dbo
ET_EquipmentClassRules;625;DMI_ET.dbo
ET_EquipmentClasses;84;DMI_ET.dbo
ET_EquipmentCustomProperties;1177;DMI_ET.dbo
ET_EquipmentEvents;2728;DMI_ET.dbo
ET_EventAttachmentHistory;5683;DMI_ET.dbo
ET_EventExecute;22;DMI_ET.dbo
ET_EventExecuteParameters;59;DMI_ET.dbo
ET_EventHistory;543698;DMI_ET.dbo
ET_EventParameters;774;DMI_ET.dbo
ET_EventParametersListSelect;761;DMI_ET.dbo
ET_EventScripts;148;DMI_ET.dbo
ET_EventStates;4455;DMI_ET.dbo
ET_Events;523;DMI_ET.dbo
ET_ParameterHistory;1367298;DMI_ET.dbo
