FQ;FCLTY;OWNER;TABLE_NAME;COLUMN_NAME;DATA_TYPE;LENGTH;PRECISION;SCALE;NULLABLE;COLUMN_ID
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;CPMGUID;nvarchar;72;0;0;;1
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;Class;nvarchar;510;0;0;;7
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;ClassGUID;nvarchar;72;0;0;;3
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;Name;nvarchar;510;0;0;;4
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;ParentGUID;nvarchar;72;0;0;;2
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;StampGUID;nvarchar;72;0;0;;6
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_CPMItems;Type;tinyint;1;3;0;;5
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Classes;ClassGUID;nvarchar;72;0;0;;1
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Classes;Name;nvarchar;510;0;0;;2
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Classes;StampGUID;nvarchar;72;0;0;;3
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;Application;nvarchar;510;0;0;;4
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;ApplicationItemGUID;nvarchar;72;0;0;;2
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;EntityGUID;nvarchar;72;0;0;;1
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;Name;nvarchar;510;0;0;;5
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;ParentGUID;nvarchar;72;0;0;;3
MSSQL_YK2MESDB01_DMI_CPM;0003;DMI_CPM.dbo;CPM_Entities;StampGUID;nvarchar;72;0;0;;6
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;ActionDateTime;datetime;8;23;3;;6
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;ActiveStepChangeRecordGUID;uniqueidentifier;16;0;0;;8
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;CommentGUID;uniqueidentifier;16;0;0;;10
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;FromItemInstanceGUID;uniqueidentifier;16;0;0;;11
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;OrderGUID;uniqueidentifier;16;0;0;;9
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;StampGUID;nvarchar;72;0;0;;7
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_ActiveStepChangeRecords;ToItemInstanceGUID;uniqueidentifier;16;0;0;;12
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;AlgorithmConnectionGUID;uniqueidentifier;16;0;0;;8
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;ConnectionType;tinyint;1;3;0;;3
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;ParentGUID;uniqueidentifier;16;0;0;;9
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;Step;nvarchar;510;0;0;;4
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;StepGUID;uniqueidentifier;16;0;0;;6
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;Transition;nvarchar;510;0;0;;5
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmConnections;TransitionGUID;uniqueidentifier;16;0;0;;7
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;AlgorithmParameterGUID;uniqueidentifier;16;0;0;;11
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;AlgorithmParameterInstanceGUID;uniqueidentifier;16;0;0;;10
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;CV;nvarchar;510;0;0;;6
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;Description;nvarchar;510;0;0;;3
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;High;nvarchar;200;0;0;;4
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;Low;nvarchar;200;0;0;;5
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;StringValue;nvarchar;510;0;0;;9
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;Target;nvarchar;510;0;0;;7
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameterInstances;UOM;nvarchar;510;0;0;;8
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;AlgorithmParameterGUID;uniqueidentifier;16;0;0;;9
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;AlgorithmStepGUID;uniqueidentifier;16;0;0;;10
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;DeferredTo;nvarchar;510;0;0;;5
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;Name;nvarchar;510;0;0;;3
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;Origin;tinyint;1;3;0;;4
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;ParameterDefinitionGUID;uniqueidentifier;16;0;0;;8
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;ProcessCritical;int;4;10;0;;7
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmParameters;ReferredTo;nvarchar;510;0;0;;6
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;AcquireUnit;tinyint;1;3;0;;14
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;AlgorithmStepGUID;uniqueidentifier;16;0;0;;23
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;Definition;nvarchar;510;0;0;;8
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;DefinitionGUID;uniqueidentifier;16;0;0;;22
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;Description;nvarchar;510;0;0;;9
MSSQL_YK2MESDB01_DMI_EBR;0003;DMI_EBR.dbo;EBR_AlgorithmSteps;H;int;4;10;0;;13
