"FQ","FCLTY","OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,SH,NUMBER,"22","7","3",N,"7"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,PD_LL,NUMBER,"22","7","3",N,"9"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,BATCH,VARCHAR2,"50",,,N,"1"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,IS_PD_COMPLY,CHAR,"1",,,N,"15"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,TL_UL,NUMBER,"22","7","3",N,"14"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,CALIB_DT,DATE,"7",,,N,"19"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,IS_SH_COMPLY,CHAR,"1",,,N,"16"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,IS_COMPLY,CHAR,"1",,,N,"18"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,IS_TL_COMPLY,CHAR,"1",,,N,"17"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,SAMPLE_ID,NUMBER,"22","1","0",N,"3"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,CART_PRODUCE,NUMBER,"22","10","0",N,"5"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,PD,NUMBER,"22","7","3",N,"6"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,PHASE,VARCHAR2,"5",,,N,"4"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,CALIB_ID,NUMBER,"22","2","0",N,"2"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,SH_UL,NUMBER,"22","7","3",N,"12"
ORA_PRD111_PAW_SUZHOU,"0037",IPC_OWNER,IPC_DIMCARP_TLU_CALIBRATIONS,TL,NUMBER,"22","7","3",N,"8"
